,,,,,
 4734 Lebanon Church Rd,15034,40.3543266,-79.9007057,Dravosburg,PA
 202 McClure St,15034,40.3505527,-79.8868138,Dravosburg,PA
 1 Ravine St,15034,40.3509559,-79.889059,Dravosburg,PA
 1530 Hamilton Rd Bethel,15234,40.3541155,-80.0146597,Bethel Park,PA
 301 South Hills Village,15241,40.35762,-80.05998,Pittsburgh,PA
 414 Hawkins Ave,15104,40.4134643,-79.8802474,rankin,PA
 2101 Greentree Rd Ste B201,15220,40.3903858,-80.0708968,Pittsburgh,PA
 141 Hawthorne St Greentree,15106,40.415517,-80.067534,Carnegie,PA
 718A Hope Hollow Rd,15106,40.394588,-80.0844539,Carnegie,PA
 920 Forsythe Rd Carnegie,15106,40.4054039,-80.0762665,Carnegie,PA
 8 Logan St Carnegie,15106,40.406323,-80.0903575,Carnegie,PA
 2080 Greentree Rd,15220,40.3922071,-80.0691338,Pittsburgh,PA
 300 Beechwood Ave Carnegie,15106,40.4068423,-80.0858661,Carnegie,PA
 1011 Washington Ave,15106,40.3983526,-80.0824517,Carnegie,PA
 2100 Washington Pike,15106,40.3875124,-80.0932152,Carnegie,PA
 2100 Washington Pike,15106,40.3875124,-80.0932152,Carnegie,PA
 Bower Hill Rd & Vanadium Rd,15106,40.3688246817,-80.0843536574,Carnegie,PA
 1927 E Railroad St,15106,40.388284,-80.089241,Carnegie,PA
 1201 Washington Ave,15106,40.3964688,-80.0849416,Carnegie,PA
 1073 Washington Ave,15106,40.3980741,-80.0833859,Carnegie,PA
 202 3rd Ave Carnegie,15106,40.404638,-80.089985,Carnegie,PA
 520 North Bell Avenue Carnegie,15106,40.417419,-80.088557,Carnegie,PA
 215 E Main St Carnegie,15106,40.40867,-80.085279,Carnegie,PA
 231 E Main St Carnegie,15106,40.4088068,-80.0848871,Carnegie,PA
 117 E Mall Plz Carnegie,15106,40.4068712,-80.0876046,Carnegie,PA
 301 Noblestown Rd East Carnegie,15106,40.4165426,-80.0667012,Carnegie,PA
 Raceway Plz,15106,40.3868915,-80.0937037,Carnegie,PA
 2323 Greentree Rd,15106,40.39076,-80.078657,Carnegie,PA
 214 E Main St Carnegie,15106,40.4083473,-80.0849615,Carnegie,PA
 312 2nd Ave Carnegie,15106,40.4031063,-80.0904271,Carnegie,PA
 2180 Greentree Rd,15220,40.39114,-80.073788,Pittsburgh,PA
 100 Roessler Rd,15106,40.394305,-80.060154,Carnegie,PA
 200 E Main St Carnegie,15106,40.4081422,-80.0851737,Carnegie,PA
 300 Davis Blvd Etna,15275,40.495167,-79.958717,Pittsburgh,PA
 820 Amity St Homestead,15120,40.4067047,-79.9105266,Homestead,PA
 270 W Bridge St Homestead,15120,40.407091,-79.916958,Homestead,PA
 3619 Main St,15120,40.3846329,-79.9036345,Homestead,PA
 660 Waterfront Dr E Homestead,15120,40.4140637,-79.9037778,Munhall,PA
 138 W Bridge St Homestead,15120,40.4075854,-79.9163491,Homestead,PA
 650 E Waterfront Dr Homestead,15120,40.413496,-79.9044562,Munhall,PA
 280 Waterfront Dr E Homestead,15120,40.4116978,-79.9124082,Homestead,PA
 171 E Bridge St Homestead,15120,40.4094353,-79.9152619,Homestead,PA
 101 E 7th Ave Homestead,15120,40.40682,-79.912788,Homestead,PA
 690 Waterfront Dr E Homestead,15120,40.4126484,-79.9016982,Homestead,PA
 122 W 8th Ave Homestead,15120,40.405311,-79.912595,Homestead,PA
 180 E Waterfront Dr Homestead,15120,40.4092932,-79.9141865,Homestead,PA
 3804 Main St,15120,40.383607,-79.904493,Homestead,PA
 610 William Marks Way Homestead,15120,40.4097098,-79.9017997,Homestead,PA
 2615 Main St,15120,40.3925524,-79.9000102,Homestead,PA
 171 E Bridge St Homestead,15120,40.4094353,-79.9152619,Homestead,PA
 1415 West St Homestead,15120,40.4023107,-79.9069188,Homestead,PA
 166 E Bridge St Homestead,15120,40.4089836,-79.9148477,Homestead,PA
 420 Waterfront Dr E Homestead,15120,40.4111498,-79.908469,Homestead,PA
 100 W Bridge St Homestead,15120,40.4040168,-79.918751,Homestead,PA
 244 W Bridge St Homestead West,15120,40.4070709,-79.917508,West Homestead,PA
 1000 Sandcastle Dr Hays,15120,40.395691,-79.9337369,Homestead,PA
 401 E 8th Ave Homestead,15120,40.4089932,-79.9073564,Homestead,PA
 207 E 16th Ave Apt 1 Homestead,15120,40.4027249,-79.904308,Homestead,PA
 3360 Main St,15120,40.3868368,-79.9029475,Munhall,PA
 185 Waterfront Dr W Homestead,15120,40.410874319,-79.9155451419,Homestead,PA
 205 East Waterfront Drive Homestead,15120,40.410967,-79.9141364,Homestead,PA
 The Waterfront Homestead,15120,40.4107319,-79.9115741,Homestead,PA
